CountryCode,Mode,ApproachName,Definition,SourceTypeContext,Author,TheoreticalStance,StudentFriendlyStrategy,ApplicationToHumanities,KeyQuotes,ConnectionsCritiques,GovernmentMandated,Orientation,Level,
UK,Current,Learning Intention (paired with) Success Criteria,"LI: What we’re learning (focus on concept, not task).
SC: How we’ll know we’ve learned it (observable indicators).","Teacher PD books →global visible learning movement primarily UK Primary/Secondary & Emerging as Australian ‘best practice’ (HITS, 2019; Steplab)","Shirley Clarke (1998) — lexical originator of the pair.Clarke, S. (2014). Outstanding Formative Assessment: Culture and Practice.","Socio-constructivist formative assessment. Emphasis on co-construction, metacognition, clarity.","“Today we are learning to…”, “You’ll know you’ve got it when you can…” — often written in student voice.  Co-construction of success criteria: The teacher and students analyse an exemplar (What A Good One Looks Like"" - WAGOLL) together to generate the criteria for success.""","Explicit — ideal for interpretive tasks:  LI: “Understand how bias shapes historical narratives.”  SC: “Identify loaded words in two sources about colonisation.”  A class could analyse a high-quality historical paragraph or persuasive essay (a WAGOLL) to determine the success criteria for their own writing (e.g., Clear topic sentence,"" ""Includes a quote,"" ""Explains the quote's meaning"").""","The shift from 'teacher-owned' to 'jointly-owned' and finally 'child-owned' success criteria is a significant one.” (2014 **)  “Success criteria make quality visible — they turn ‘good’ from a mystery into a map.” — Clarke (2005**)""","Connections: Directly operationalizes the theories of Wiliam and Hattie on feedback and student self-regulation. Provides a practical counterpoint to the top-down objective writing of Mager.Advantages:  Student agency, clarity, feedback-focused. Disadvantages:  Can become compliance tool if not co-constructed/ implemented consciously . Dominant global model post-2010.Also, uses both Learning Intention (p & Learning Objective (p.57,58) in original text ‘Targeting Assessment in the Primary classroom’ (Clarke, 1998)- Pupil response sheet uses objective. Is ‘objective’ designed to be student facing?",Partially,StudentFacing,"Primary, Secondary",
GLB,Current,Learning Intention (paired with) Success Criteria,"LI: What we’re learning (focus on concept, not task).
SC: How we’ll know we’ve learned it (observable indicators).","Teacher PD books →global visible learning movement primarily UK Primary/Secondary & Emerging as Australian ‘best practice’ (HITS, 2019; Steplab)","Teacher Assessment in Key Stage 2, QCA,  Assessment for Shirley Clarke (1998) — lexical originator of the pair.Clarke, S. (2014). Outstanding Formative Assessment: Culture and Practice.","Socio-constructivist formative assessment. Emphasis on co-construction, metacognition, clarity.","“Today we are learning to…”, “You’ll know you’ve got it when you can…” — often written in student voice.  Co-construction of success criteria: The teacher and students analyse an exemplar (What A Good One Looks Like"" - WAGOLL) together to generate the criteria for success.""","Explicit — ideal for interpretive tasks:  LI: “Understand how bias shapes historical narratives.”  SC: “Identify loaded words in two sources about colonisation.”  A class could analyse a high-quality historical paragraph or persuasive essay (a WAGOLL) to determine the success criteria for their own writing (e.g., Clear topic sentence,"" ""Includes a quote,"" ""Explains the quote's meaning"").""","The shift from 'teacher-owned' to 'jointly-owned' and finally 'child-owned' success criteria is a significant one.” (2014 **)  “Success criteria make quality visible — they turn ‘good’ from a mystery into a map.” — Clarke (2005**)""","Connections: Directly operationalizes the theories of Wiliam and Hattie on feedback and student self-regulation. Provides a practical counterpoint to the top-down objective writing of Mager.Advantages:  Student agency, clarity, feedback-focused. Disadvantages:  Can become compliance tool if not co-constructed/ implemented consciously . Dominant global model post-2010.Also, uses both Learning Intention (p & Learning Objective (p.57,58) in original text ‘Targeting Assessment in the Primary classroom’ (Clarke, 1998)- Pupil response sheet uses objective. Is ‘objective’ designed to be student facing?",No,StudentFacing,"Primary, Secondary",
AUS - VIC,Current,Learning Objectives/‘Component’ Learning Intentions & Success Criteria,"Granular, sequenced statements that are within each lesson and build toward a larger previously displayed and reminded Unit Learning Intention (typically a series of constructs reworded from F-10 content Descriptors). Often begin with “By the end of this lesson students will be able to…","Curriculum frameworks, particularly Australian VCAA (Victorian Curriculum and Assessment Authority). Explicit in learning area descriptors. Recommended in AfGT - APST/AITSL standardisation for Preservice Teachers","Engaging & Assessing Learners 3 instructional video,AfGT Element 1, UniMelb (2024);  (1998). Inside the black box: Raising standards through classroom assessment. Phi Delta Kappan, 80(2), 139–148.Australian Curriculum (VCAA, ACARA).
",Explicit outcomes orientation; blends formative transparency with summative accountability. Constructive alignment à la Biggs.,"Teacher states outcome in kid-speak: “By the end of today, you’ll be able to explain why democracy needs more than voting.”  ","Explicit: historical analysis, debate, civics.","VCAA “By the end of Level (x), students…”  Black & William ***",Advantages:  Provides clear promise and forward orientation.   Disadvantages:  Can collapse the mystery of inquiry into foregone conclusions.,Partly,Teacher planning,"Primary, Secondary",
EUR,Current,Intended Learning Outcomes (ILO),"Formal statements describing what learners are expected to know, understand, or do upon completing a module, subject or course","European Bologna Process, 
UNESCO, OECD,  IB Diploma UK Quality Assurance Agency (QAA), Higher Education curriculum design.""","John Biggs & Catherine Tang (2007), Teaching for Quality Learning at University.","Constructive alignment: teaching, assessment, and LOs must align. Outcomes-based education (OBE). Focuses on demonstrable competence, transfer and benchmarking.","Our intended outcome today: you’ll be able to evaluate two sources and argue which better matches Australian Values  rewritten as “After this unit, you will be equipped to…” or “You will demonstrate ability to…” Often paired with rubrics.","Explicit if adapted without jargon. Useful in unit outlines, harder for daily lessons with 12-year-olds.  Implicit in Jr. Humanities via backward-mapped units (UbD, McTighe & Wiggins, 2005). E.g., “Students will collaborate and present a presentation that demonstrates understanding a type of law.”","“What the student does is more important in determining what is learned than what the teacher does.” — Biggs (1999)  ILOs define the knowledge, skills and competences a learner is expected to have acquired at the end of a learning experience.” — ECTS Users’ Guide (European Commission)","Links - McTighe & Wiggins/Clarke/Black & Williams/ Blooms (&Krathwohl) Advantages:  SOLO taxonomy Advantages:  QA Friendly. Global comparability, quality Alignment,. Disadvantages:  Can sound bureaucratic, less student-centered. too abstract for daily lessons; needs unpacking into targets/LIs",Yes,StudentFacing,Tertiary,
AUS,Current,Intended Learning Outcomes (ILO),"Formal statements describing what learners are expected to know, understand, or do upon completing a module, subject or course","European Bologna Process, 
UNESCO, OECD,  IB Diploma UK Quality Assurance Agency (QAA), Higher Education curriculum design.""","John Biggs & Catherine Tang (2007), Teaching for Quality Learning at University.","Constructive alignment: teaching, assessment, and LOs must align. Outcomes-based education (OBE). Focuses on demonstrable competence, transfer and benchmarking.","Our intended outcome today: you’ll be able to evaluate two sources and argue which better matches Australian Values  rewritten as “After this unit, you will be equipped to…” or “You will demonstrate ability to…” Often paired with rubrics.","Explicit if adapted without jargon. Useful in unit outlines, harder for daily lessons with 12-year-olds.  Implicit in Jr. Humanities via backward-mapped units (UbD, McTighe & Wiggins, 2005). E.g., “Students will collaborate and present a presentation that demonstrates understanding a type of law.”","“What the student does is more important in determining what is learned than what the teacher does.” — Biggs (1999)  ILOs define the knowledge, skills and competences a learner is expected to have acquired at the end of a learning experience.” — ECTS Users’ Guide (European Commission)","Links - McTighe & Wiggins/Clarke/Black & Williams/ Blooms (&Krathwohl) Advantages:  SOLO taxonomy Advantages:  QA Friendly. Global comparability, quality Alignment,. Disadvantages:  Can sound bureaucratic, less student-centered. too abstract for daily lessons; needs unpacking into targets/LIs",Yes,StudentFacing,Tertiary,
USA,Current,Intended Learning Outcomes (ILO),"Formal statements describing what learners are expected to know, understand, or do upon completing a module, subject or course","European Bologna Process, 
UNESCO, OECD,  IB Diploma UK Quality Assurance Agency (QAA), Higher Education curriculum design.""","John Biggs & Catherine Tang (2007), Teaching for Quality Learning at University.","Constructive alignment: teaching, assessment, and LOs must align. Outcomes-based education (OBE). Focuses on demonstrable competence, transfer and benchmarking.","Our intended outcome today: you’ll be able to evaluate two sources and argue which better matches Australian Values  rewritten as “After this unit, you will be equipped to…” or “You will demonstrate ability to…” Often paired with rubrics.","Explicit if adapted without jargon. Useful in unit outlines, harder for daily lessons with 12-year-olds.  Implicit in Jr. Humanities via backward-mapped units (UbD, McTighe & Wiggins, 2005). E.g., “Students will collaborate and present a presentation that demonstrates understanding a type of law.”","“What the student does is more important in determining what is learned than what the teacher does.” — Biggs (1999)  ILOs define the knowledge, skills and competences a learner is expected to have acquired at the end of a learning experience.” — ECTS Users’ Guide (European Commission)","Links - McTighe & Wiggins/Clarke/Black & Williams/ Blooms (&Krathwohl) Advantages:  SOLO taxonomy Advantages:  QA Friendly. Global comparability, quality Alignment,. Disadvantages:  Can sound bureaucratic, less student-centered. too abstract for daily lessons; needs unpacking into targets/LIs",Yes,StudentFacing,Tertiary,
CAN,Current,Intended Learning Outcomes (ILO),"Formal statements describing what learners are expected to know, understand, or do upon completing a module, subject or course","European Bologna Process, 
UNESCO, OECD,  IB Diploma UK Quality Assurance Agency (QAA), Higher Education curriculum design.""","John Biggs & Catherine Tang (2007), Teaching for Quality Learning at University.","Constructive alignment: teaching, assessment, and LOs must align. Outcomes-based education (OBE). Focuses on demonstrable competence, transfer and benchmarking.","Our intended outcome today: you’ll be able to evaluate two sources and argue which better matches Australian Values  rewritten as “After this unit, you will be equipped to…” or “You will demonstrate ability to…” Often paired with rubrics.","Explicit if adapted without jargon. Useful in unit outlines, harder for daily lessons with 12-year-olds.  Implicit in Jr. Humanities via backward-mapped units (UbD, McTighe & Wiggins, 2005). E.g., “Students will collaborate and present a presentation that demonstrates understanding a type of law.”","“What the student does is more important in determining what is learned than what the teacher does.” — Biggs (1999)  ILOs define the knowledge, skills and competences a learner is expected to have acquired at the end of a learning experience.” — ECTS Users’ Guide (European Commission)","Links - McTighe & Wiggins/Clarke/Black & Williams/ Blooms (&Krathwohl) Advantages:  SOLO taxonomy Advantages:  QA Friendly. Global comparability, quality Alignment,. Disadvantages:  Can sound bureaucratic, less student-centered. too abstract for daily lessons; needs unpacking into targets/LIs",Yes,StudentFacing,Tertiary,
NZ,Current,Intended Learning Outcomes (ILO),"Formal statements describing what learners are expected to know, understand, or do upon completing a module, subject or course","European Bologna Process, 
UNESCO, OECD,  IB Diploma UK Quality Assurance Agency (QAA), Higher Education curriculum design.""","John Biggs & Catherine Tang (2007), Teaching for Quality Learning at University.","Constructive alignment: teaching, assessment, and LOs must align. Outcomes-based education (OBE). Focuses on demonstrable competence, transfer and benchmarking.","Our intended outcome today: you’ll be able to evaluate two sources and argue which better matches Australian Values  rewritten as “After this unit, you will be equipped to…” or “You will demonstrate ability to…” Often paired with rubrics.","Explicit if adapted without jargon. Useful in unit outlines, harder for daily lessons with 12-year-olds.  Implicit in Jr. Humanities via backward-mapped units (UbD, McTighe & Wiggins, 2005). E.g., “Students will collaborate and present a presentation that demonstrates understanding a type of law.”","“What the student does is more important in determining what is learned than what the teacher does.” — Biggs (1999)  ILOs define the knowledge, skills and competences a learner is expected to have acquired at the end of a learning experience.” — ECTS Users’ Guide (European Commission)","Links - McTighe & Wiggins/Clarke/Black & Williams/ Blooms (&Krathwohl) Advantages:  SOLO taxonomy Advantages:  QA Friendly. Global comparability, quality Alignment,. Disadvantages:  Can sound bureaucratic, less student-centered. too abstract for daily lessons; needs unpacking into targets/LIs",Yes,StudentFacing,Tertiary,
EUR,Current,Learning Objective/s,"a precisely stated, measurable outcome describing what learners will know/do at lesson or unit end; framed in observable verbs and aligned to assessment. Normalised in higher/professional education by late 1990s (e.g., AAMC MSOP Report I uses the exact phrase “learning objectives” in title and body).","Professional/tertiary course design and competency frameworks (e-learning, medical education, business/engineering): weekly syllabi and lectures begin with “Learning Objectives” as a formal heading; example: online course format tables list and repeat Learning Objectives each week.","1960s Engineering Courses, 1970s onward medical coursesPolicy/system exemplar: AAMC MSOP Writing Group (1998/1999) — Learning Objectives for Medical Student Education. | Early K-12 e-learning normalisation: Ellram (1999/2006 reprint) with weekly “Learning Objectives” schema.","Outcomes-based / behaviourist-positivist lineage operationalised for accountability and competency: objective = the target; assessment = the evidence. Often conflated with “goal/aim/outcome,” and frequently (mis)treated as synonymous with learning intention.","Post the objective and tie it directly to success criteria (evidence of meeting the objective). In e-learning templates, list each objective, then activities/assessments keyed to it.","History: Objective: “Explain three causes of the 1917 Revolution.” Success criteria: list causes, link to effects, prioritise significance. (Objective–evidence lockstep.)",AAMC (1999): “…set forth learning objectives… guide each medical school…” (title and abstract). | Ellram’s online format explicitly begins with “Learning Objectives… repeated for each learning objective.”,"Advantages:  High clarity and assessment alignment; easily integrates with success criteria and LMS planning. Disadvantages:  Risks reductionism; widely conflated with intentions, collapsing meaning into targets.",,StudentFacing,"Primary, Secondary, Tertiary",
AUS,Current,Learning Objective/s,"a precisely stated, measurable outcome describing what learners will know/do at lesson or unit end; framed in observable verbs and aligned to assessment. Normalised in higher/professional education by late 1990s (e.g., AAMC MSOP Report I uses the exact phrase “learning objectives” in title and body).","Professional/tertiary course design and competency frameworks (e-learning, medical education, business/engineering): weekly syllabi and lectures begin with “Learning Objectives” as a formal heading; example: online course format tables list and repeat Learning Objectives each week.","1960s Engineering Courses, 1970s onward medical courses  Policy/system exemplar: AAMC MSOP Writing Group (1998/1999) — Learning Objectives for Medical Student Education. | Early K-12 e-learning normalisation: Ellram (1999/2006 reprint) with weekly “Learning Objectives” schema.","Outcomes-based / behaviourist-positivist lineage operationalised for accountability and competency: objective = the target; assessment = the evidence. Often conflated with “goal/aim/outcome,” and frequently (mis)treated as synonymous with learning intention.","Post the objective and tie it directly to success criteria (evidence of meeting the objective). In e-learning templates, list each objective, then activities/assessments keyed to it.","History: Objective: “Explain three causes of the 1917 Revolution.” Success criteria: list causes, link to effects, prioritise significance. (Objective–evidence lockstep.)",AAMC (1999): “…set forth learning objectives… guide each medical school…” (title and abstract). | Ellram’s online format explicitly begins with “Learning Objectives… repeated for each learning objective.”,"Advantages:  High clarity and assessment alignment; easily integrates with success criteria and LMS planning. Disadvantages:  Risks reductionism; widely conflated with intentions, collapsing meaning into targets.",,StudentFacing,"Primary, Secondary, Tertiary",
